# downsampled raw LIO trajectory
# t_rel	x	y	z
0.32597	0.00095	-0.00080	-0.00334
0.39621	-0.02611	0.04170	-0.01406
0.39621	-0.01324	0.02273	-0.01292
0.45568	0.01529	0.03350	-0.01014
0.45568	0.03036	0.05168	-0.00274
0.45568	0.02076	0.04503	-0.00453
0.52149	0.00911	0.03317	-0.00364
0.52149	0.00991	0.02698	-0.00189
0.58683	0.00776	0.03662	0.00020
0.58683	0.00690	0.05135	-0.00506
0.65099	-0.01643	0.02819	-0.01138
0.65099	0.00540	0.02647	-0.00708
0.71649	0.01067	0.02714	-0.00404
0.71649	-0.00543	0.02669	-0.00657
0.78235	-0.01080	0.01159	-0.00548
0.78235	-0.00606	0.01345	-0.00316
0.84649	0.00034	0.01876	-0.00375
0.84649	-0.00122	0.01973	-0.00988
0.91574	0.01084	0.01367	-0.00691
0.91574	0.01025	0.01122	-0.00584
0.97682	0.01480	-0.00365	0.00041
0.97682	0.01880	0.00388	0.00266
0.97682	0.01875	-0.00622	0.00578
1.04241	0.01112	-0.00219	0.00571
1.04241	0.02159	0.00620	0.00580
1.10744	0.02540	0.00278	0.00082
1.10744	0.03168	0.00537	0.00012
1.17198	0.02292	0.00861	-0.00011
1.17198	0.01927	0.01409	-0.00095
1.23750	0.02094	0.00976	0.00102
1.23750	0.01907	0.00930	-0.00014
1.30303	0.02011	0.01677	0.00112
1.30303	0.01082	0.00471	-0.00228
1.36750	0.01381	0.00273	-0.00180
1.36750	0.01839	-0.00312	-0.00091
1.43247	0.00959	-0.00094	0.00243
1.43247	-0.00483	0.00612	-0.00445
1.49849	0.00033	0.00862	-0.00128
1.49849	-0.00478	0.00727	-0.00416
1.49849	0.00199	0.01501	-0.00438
1.56327	-0.00402	0.00434	-0.00785
1.56327	0.00408	0.01107	-0.00636
1.62800	0.00267	0.01520	-0.00463
1.62800	-0.00138	0.02630	-0.00799
1.69395	-0.00649	0.00806	-0.00293
1.69395	-0.00772	0.00083	-0.00055
1.75852	-0.00529	0.00661	0.00081
1.75852	-0.01139	0.00665	-0.00569
1.82316	-0.00656	0.01257	-0.00757
1.82316	-0.00603	0.01289	-0.00603
1.88908	-0.01044	0.01350	-0.00471
1.88908	-0.02511	0.01890	-0.00811
1.95399	-0.02402	0.01757	-0.00707
1.95399	-0.02511	0.01515	-0.00692
1.95399	-0.02160	0.02619	-0.00989
2.01914	-0.04047	0.01284	-0.01517
2.01914	-0.02381	0.01163	-0.01368
2.08401	-0.02035	0.00486	-0.00868
2.08401	-0.02624	0.00504	-0.01052
2.14973	-0.03597	0.00738	-0.01164
2.14973	-0.03380	0.00075	-0.00848
2.21445	-0.02763	0.00446	-0.00538
2.21445	-0.03034	-0.01223	-0.00818
2.27949	-0.02213	-0.01214	-0.00736
2.27949	-0.02265	-0.01258	-0.00436
2.34507	-0.02819	-0.01289	-0.00517
2.34507	-0.02515	-0.01268	-0.00277
2.41390	-0.02410	-0.01783	0.00055
2.41390	-0.03198	-0.01879	-0.00220
2.47497	-0.02311	-0.01144	-0.00265
2.47497	-0.01100	0.00433	-0.00597
2.47497	-0.00070	-0.00041	-0.00320
2.53989	-0.01014	0.00409	-0.00604
2.53989	-0.01981	0.00695	-0.00883
2.60514	-0.02326	0.00158	-0.00551
2.60514	-0.02594	-0.00250	-0.00676
2.67002	-0.02777	0.00428	-0.00639
2.67002	-0.03423	-0.00187	-0.00925
2.73584	-0.03718	-0.00621	-0.01057
2.73584	-0.02999	-0.01305	-0.00915
2.80050	-0.03146	-0.01108	-0.00838
2.80050	-0.04659	-0.01229	-0.01027
2.86558	-0.04865	-0.01344	-0.00845
2.86558	-0.05233	-0.01622	-0.00934
2.86558	-0.04882	-0.00614	-0.01012
2.93095	-0.06307	-0.01955	-0.01635
2.93095	-0.05422	-0.01636	-0.01379
2.99552	-0.06055	-0.01678	-0.01093
2.99552	-0.06045	-0.01243	-0.01306
3.06047	-0.06983	-0.01473	-0.01202
3.06047	-0.07261	-0.01548	-0.01116
3.12602	-0.07590	-0.00656	-0.01181
3.12602	-0.07654	-0.00675	-0.01512
3.19106	-0.09460	-0.01397	-0.01790
3.19106	-0.09183	-0.01130	-0.01724
3.25597	-0.08989	-0.00458	-0.01795
3.25597	-0.09835	-0.00498	-0.01728
3.32152	-0.09909	-0.01513	-0.01729
3.32152	-0.10202	-0.01846	-0.01590
3.38654	-0.09770	-0.01079	-0.01759
3.38654	-0.12406	-0.03074	-0.02291
3.45154	-0.12446	-0.04014	-0.02258
3.45154	-0.12873	-0.04015	-0.01983
3.45154	-0.13702	-0.04190	-0.02096
3.51697	-0.16706	-0.05012	-0.02440
3.51697	-0.17135	-0.05524	-0.02203
3.58152	-0.17193	-0.05584	-0.02294
3.58152	-0.17783	-0.06718	-0.02463
